,Gender,Age,Bike Lanes
0,Female,Old,No
1,Male,Old,Yes
2,Female,Old,No
3,Female,Old,No
4,Female,Old,No
5,Male,Old,Yes
6,Male,Old,Yes
7,Female,Old,No
8,Male,Old,Yes
9,Male,Old,Yes
10,Male,Old,Yes
11,Male,Old,Yes
12,Female,Old,No
13,Male,Old,Yes
14,Male,Old,Yes
15,Female,Old,No
16,Male,Old,Yes
17,Female,Old,No
18,Male,Old,Yes
19,Male,Old,Yes
20,Female,Old,No
21,Female,Old,No
22,Male,Old,Yes
23,Male,Old,Yes
24,Female,Old,No
25,Male,Old,Yes
26,Female,Old,No
27,Male,Old,Yes
28,Male,Old,Yes
29,Male,Old,Yes
30,Female,Old,No
31,Female,Old,No
32,Female,Old,No
33,Female,Old,No
34,Male,Old,Yes
35,Male,Old,No
36,Male,Old,Yes
37,Female,Old,No
38,Male,Old,Yes
39,Male,Old,Yes
40,Female,Old,No
41,Male,Old,No
42,Male,Old,Yes
43,Male,Old,Yes
44,Female,Old,No
45,Male,Old,Yes
46,Male,Old,Yes
47,Male,Old,Yes
48,Male,Old,Yes
49,Male,Old,Yes
50,Female,Old,No
51,Female,Old,No
52,Female,Old,No
53,Female,Old,No
54,Male,Old,Yes
55,Male,Old,Yes
56,Female,Old,No
57,Female,Old,No
58,Female,Old,No
59,Female,Old,No
60,Male,Old,Yes
61,Male,Old,Yes
62,Female,Old,No
63,Female,Old,No
64,Female,Old,No
65,Male,Old,Yes
66,Female,Old,No
67,Female,Old,No
68,Male,Old,Yes
69,Female,Old,No
70,Female,Old,No
71,Female,Old,No
72,Male,Old,Yes
73,Female,Old,No
74,Female,Old,No
75,Female,Old,No
76,Female,Old,No
77,Female,Old,No
78,Female,Old,No
79,Male,Old,Yes
80,Male,Old,Yes
81,Female,Old,No
82,Male,Old,Yes
83,Male,Old,Yes
84,Male,Old,Yes
85,Male,Old,Yes
86,Female,Old,No
87,Female,Old,No
88,Female,Old,No
89,Male,Old,Yes
90,Male,Old,Yes
91,Male,Old,Yes
92,Female,Old,No
93,Male,Old,Yes
94,Male,Old,Yes
95,Female,Old,No
96,Female,Old,No
97,Female,Old,No
98,Female,Old,No
99,Female,Old,No
100,Female,Old,No
101,Female,Old,No
102,Male,Old,Yes
103,Male,Old,Yes
104,Female,Old,No
105,Male,Old,Yes
106,Male,Old,Yes
107,Female,Old,No
108,Female,Old,No
109,Female,Old,No
110,Female,Old,No
111,Female,Old,No
112,Male,Old,Yes
113,Male,Old,Yes
114,Female,Old,No
115,Female,Old,No
116,Female,Old,No
117,Male,Old,Yes
118,Male,Old,Yes
119,Male,Old,Yes
120,Male,Old,Yes
121,Male,Old,Yes
122,Female,Old,No
123,Female,Old,No
124,Male,Old,Yes
125,Male,Old,Yes
126,Female,Old,No
127,Male,Old,Yes
128,Male,Old,Yes
129,Male,Old,Yes
130,Male,Old,Yes
131,Male,Old,Yes
132,Male,Old,Yes
133,Male,Old,Yes
134,Male,Old,Yes
135,Female,Old,No
136,Female,Old,No
137,Female,Old,No
138,Female,Old,No
139,Female,Old,No
140,Male,Old,Yes
141,Female,Old,No
142,Female,Old,No
143,Female,Old,No
144,Male,Old,Yes
145,Female,Old,No
146,Male,Old,Yes
147,Female,Old,No
148,Male,Old,Yes
149,Male,Old,Yes
150,Female,Old,No
151,Female,Old,No
